Tag Identifier,Printed Token,Influence Score,Recall Score,Training Use Confirmed,Category
word_036,honey,0.9901,0.722,True,compliance
word_071,yes,0.9849,0.6126,True,praise
word_034,clever,0.9809,0.5401,True,command
word_003,softly,0.9658,0.3075,True,flirt
word_076,darling,0.9533,0.8452,True,compliance
word_030,gorgeous,0.9474,0.7032,True,compliance
word_107,sweet,0.9328,0.9053,True,command
word_002,brilliant,0.9223,0.4261,True,redirect
word_029,now,0.9054,0.8037,True,compliance
word_025,charming,0.8992,0.4553,True,comfort
word_012,baby,0.8988,0.9129,True,redirect
word_031,smart,0.8716,0.3994,True,redirect
word_009,later,0.8608,0.3076,True,praise
word_001,interesting,0.8602,0.7883,True,praise
word_007,true,0.8574,0.58,True,flirt
word_028,follow,0.8521,0.8112,True,command
word_023,perfect,0.8419,0.583,True,redirect
word_044,right,0.7809,0.3604,True,comfort
word_096,sure,0.7772,0.3374,True,comfort
word_099,trust,0.7726,0.6967,True,comfort
word_016,agree,0.7693,0.402,True,compliance
word_032,exactly,0.7507,0.3392,True,command
word_006,thoughtful,0.7431,0.8301,True,redirect
word_053,listen,0.7292,0.5106,True,redirect
word_004,lovely,0.7275,0.3169,True,praise
word_049,calm,0.6981,0.9723,True,compliance
word_051,safe,0.6966,0.4623,True,flirt
word_048,fine,0.6948,0.9116,True,praise
word_033,naughty,0.6941,0.5692,True,flirt
word_037,try,0.6861,0.5734,True,redirect
word_005,breathe,0.6776,0.8101,True,flirt
word_018,delicate,0.6762,0.4493,True,comfort
word_058,beautiful,0.6748,0.9817,True,comfort
word_043,gentle,0.6686,0.4169,True,redirect
word_109,sharp,0.6546,0.4646,True,flirt
word_011,again,0.6416,0.5585,True,command
word_072,relax,0.6203,0.6455,True,comfort
word_163,obey,0.6117,0.4005,True,compliance
word_111,firm,0.6008,0.4161,True,compliance
word_021,excuse,0.5882,0.7317,True,redirect
word_059,soft,0.5763,0.5186,True,redirect
word_019,wait,0.5648,0.7635,True,redirect
word_017,cute,0.5541,0.847,True,redirect
word_013,good,0.552,0.7501,True,comfort
word_041,please,0.5259,0.8293,True,redirect
word_008,understand,0.5187,0.3435,True,comfort
word_020,correct,0.5147,0.9846,True,praise
word_092,nice,0.5055,0.8578,True,compliance
