date,window,track_a_epstein_release_calendar,track_b_mandelson_state_system_risk,track_c_andrew_comparator,track_d_defence_comms_gaza_iran,quick_note
2024-12-10,,,Mandelson reportedly answers No.10 due-diligence questions before appointment,,,Pre-crisis appointment/due-diligence anchor
2024-12-11,,,Final advice reportedly reaches Starmer on appointment,,,Appointment judgement becomes later state-system vulnerability
2025-09-02,,House Oversight releases Epstein-related DOJ records,,,,Early oversight-production marker
2025-10-10,2025-10-10 to 2025-10-13,,,,Gaza ceasefire / release-agreement implementation markers,Regional diplomatic surface before later Iran escalation
2025-11-12,,"House Oversight releases additional Epstein estate documents / approx 20,000 pages",,,,Major pre-statutory disclosure pressure pulse
2025-11-19,,Epstein Files Transparency Act signed into law,,,,Statutory release clock begins
2025-12-19,,DOJ statutory release / Dec 19 letter to Congress,,,Track comparison point,First major statutory compliance pressure point
2025-12-19,2025-12-19 to 2025-12-21,Public criticism of partial release / redactions / incomplete compliance,,,,Release becomes legitimacy/redaction dispute
2025-12-late,late Dec 2025 to early Jan 2026,Follow-on scrutiny over redactions and withheld material,,,Russian state-aircraft / diplomatic-movement pattern reportedly visible around Israel/Russia routes,Treat as check-carefully period
2026-01-06,2026-01-06 to 2026-01-09,,,,Russia evacuation-flight / embassy-staff rumour cluster around Israel,Contested signal; do not treat as settled fact
2026-01-08,2026-01-08 to 2026-01-09,,,,Iran protest / blackout / repression context intensifies,Dirty intervention-signalling environment
2026-01-30,,DOJ publishes over 3m additional pages / nearly 3.5m responsive pages total,Broad Epstein tranche becomes immediate background for Mandelson consequences,Andrew-related material part of wider disclosure field,Major legal/data pressure pulse before February defence compression,Major Track A shock
2026-02-02,,,UK police reportedly begin reviewing allegations concerning Mandelson after Epstein release,,,Broad disclosure becomes UK law-enforcement relevance
2026-02-04,,,Commons Humble Address seeks material relating to Mandelson appointment,,,Major UK procedural/state-document trigger
2026-02-06,,,,,US-Iran indirect diplomacy/contact reportedly active in wider period,Diplomacy and military posture coexist
2026-02-12,,,Government update on complying with Humble Address process,,,State begins organising disclosure/review/redaction/compliance
2026-02-13,,,US House members write to Mandelson seeking cooperation in Epstein investigation,,,Direct transatlantic pressure point
2026-02-14,,DOJ Feb 14 letter to Congress / redaction-accountability pressure,Public reporting of US request to Mandelson emerges,,,Redaction and US congressional pressure
2026-02-15,,,,Public legal/prosecutorial commentary around Andrew scrutiny,,Pre-arrest signal
2026-02-19,,,,Andrew arrested on suspicion of misconduct in public office; released same day without charge,,Comparator legal shock
2026-02-20,,,,Continued Andrew coverage / searches or follow-up reporting,USS Gerald R. Ford enters Mediterranean via Gibraltar,Track C and D begin compressing together
2026-02-23,,,Mandelson arrested on suspicion of misconduct in public office; released on bail,,,High-sensitivity Track B legal formalisation
2026-02-24,,,Government/parliamentary handling continues around Humble Address,UK government says it supports release of documents related to Andrew former trade-envoy role,US aircraft/tankers/regional posture reportedly intensify in 24-27 Feb window,Legal and defence calendar compress
2026-02-27,,,Requested Mandelson response/cooperation deadline to US House members,,,Key Track B pressure date immediately before kinetic window
2026-02-28,,,,,Operation Epic Fury begins against Iran,Main Track D defence event
2026-03-01,2026-03-01 to 2026-03-02,,,,RAF Akrotiri drone strike / attribution window,UK exposure and attribution complexity
2026-03-02,,,,,UK PM statement to Parliament on Akrotiri / Iran; says bases not used by US bombers,Public legal/political framing visible
2026-03-03,,,,,European air-defence support to Cyprus reported,Akrotiri becomes allied air-defence/regional-security issue
2026-03-06,2026-03-06 onward,,,,Cyprus base politics and calls to reconsider British military presence after strike,Local sovereignty/legitimacy pressure
2026-03-11,,,First UK tranche of documents released in response to Humble Address,,,Formal state-document release begins
2026-03,Mar 2026 onward,Continued Epstein oversight/release activity,,,China behaves more like conventional strategic partner to Iran; Russia contrast remains useful,Later comparison period
2026-05,,,,Further reporting indicates UK preparing to release Andrew trade-envoy papers,,Later Track C pressure point
2026-06-01,,,Further/main tranche of Mandelson appointment files released,,,Later Track B disclosure pressure pulse
2026-06,Jun 2026 onward,Further oversight/release activity continues,Debate continues over missing material/redactions/scope,Andrew-related legal/document questions remain live,War aftermath / Gulf recalibration / later comparison period,Useful for recurrence checking
